sentence,label
"No pain, Mr. Kringelein?",Kringelein?
"Yes, thanks to the Baron. The best shops, the very best. Look, Doctor, silk -- feels so nice on the skin... a London hat, see -- made in England, that's silk, too -- fifty marks... Look, the price is on it. That was half my salary before. The Baron is a very fine gentleman -- no one in my life has been so nice to me as the Baron.",Baron.
"Life is changing you, Mr. Kringelein.",Kringelein.
But Doctor --,--
"Life! -- Mr. Kringelein, you are drunk -- good night.",night.
"Oh, but Doctor. The music -- the champagne -- girls when they dance -- all the shining ice in those big silver things -- That's life --",--
The Grand Hotel.,Hotel.
"Oh, but Doctor. Isn't this wonderful. To live -- to live -- in the Grand Hotel.",Hotel.
"I have nothing better to do, Mr. Kringelein.",Kringelein.
"You will stay, Doctor -- if you have nothing better to do?",do?
"Yes -- Oh -- oh -- yes, --",--
I know -- I know -- when a man's collar is an inch too big for him -- I know he is ill.,ill.
You are ill.,ill.
Yes -- yes -- I am tired. I have been ill...,ill...
You're tired. I can see that.,that.
Oh -- but -- I --,--
Send his bags up to my room.,room.
Oh!,Oh!
This gentleman can have my room.,room.
"I came here from a long distance to stay at the Grand Hotel. I want a room -- a big room -- like you would give General Director Preysing -- I'm as good as Mr. Preysing -- I can pay like Mr. Preysing -- would you give him a little room, way up in the corner with the hot water pipes going -- bang -- bang -- bang...",bang...
"Oh, there must be one in Paris... They have everything in Paris.",Paris.
How do you know there is a Grand Hotel?,Hotel?
Is the bill ready -- the lady's too?,too?
Am I!,I!
"You're a good man, Mr. Kringelein -- a very good man.",man.
Do you like me better?,better?
"Oh yes, of course.",course.
Do you believe that you will have a better time with me than you would with Preysing?,Preysing?
"Nonsense! We'll find a great doctor, he'll cure you. They can cure anything these days.",days.
"When I -- I'm ill, Flaemmchen -- It will not be long -- I'll not last long. Will you stay with me until...",until...
Later?,Later?
"Wherever you like. Here I'll give you the money I won, three thousand four hundred. Later you can have more.",more.
Yes -- to Paris? I wanted to go there always.,always.
You'll have a good time with me. Want to? I've got enough money. Ten thousand two hundred in my pocketbook. Three thousand four hundred that I won. It will last a long time. I can win more -- we'll travel.,travel.
What?,What?
Of course I do -- I never knew what money really meant till I started spending it. Do you know --  I can hardly believe that anything so beautiful should come to me from Preysing -- I'll take care of you. Will -- will you let me?,me?
You don't understand that do you?,you?
"Yes, of course, -- money!",money!
Money!,Money!
Then why did you have anything to do with him?,him?
I didn't like Preysing right off.,off.
He was in desperate straits. He'd been trying to raise money all day. He laughed -- Poor devil! And then a man like Preysing kills him.,him.
Perhaps he really was a burglar -- But they don't kill a man for that.,that.
So did I. He was friendly to me as no man ever was.,was.
Yes --,--
"You loved the Baron, didn't you?",you?
"Oh -- I was thinking -- Poor Baron -- Lying there, his eyes so open.",open.
What's the matter?,matter?
Preysing?,Preysing?
"Quick -- something awful -- awful has happened. Go -- go at once, -- Mr. Preysing --",--
"Oh -- oh, Miss Flaemmchen. It's you --",--
Oh -- what -- what --,--
Quick -- Mr. Kringelein.,Kringelein.
You don't like to see me enjoying myself.,myself.
Please -- please!,please!
"For the first time in my life, I'm happy.",happy.
Really?,Really?
"I'm happy, Miss Flaemm.",Flaemm.
You dance splendidly.,splendidly.
I never danced before -- in public.,public.
You're trembling.,trembling.
Yes.,Yes.
You must look at my face and not at the floor.,floor.
She's beautiful -- isn't she?,she?
Dance then?,then?
Oh -- you would!,would!
I don't know -- I'd like to do anything --,--
A man might what?,what?
Yes -- it's stimulating -- a man might --,--
You like music?,music?
Yes -- that --,--
No - absinthe.,absinthe.
"Oh, thank you, Miss Flaemm. Oh, please, Miss Flaemm -- Permit me, Miss Flaemm, won't you have something sweet -- a Louisiana flip.  A Louisiana flip.",flip.
"Mr. Kringelein -- How you have changed, you look so nice.",nice.
I'm waiting for him here. The Baron and I have been together all day. A hundred miles an hour -- in a motor car -- and in an aeroplane -- It was marvelous --,--
"Good evening, Mr. Kringelein -- Where's the Baron?",Baron?
"To take dictation -- a Mr. Preysing --  Goodbye, you -- tomorrow at five o'clock.",o'clock.
"Oh, can anyone engage you for the evening?",evening?
I'm engaged for the evening.,evening.
"Oh, don't go.",go.
Her master's voice!  I must go now -- goodbye -- thanks.,thanks.
"Have you seen the bathroom? -- Hot and cold running water -- You see, I can get a bath whenever I like.",like.
"Silk -- think of that -- silk -- they are, too.",too.
"I'm sure this beautiful room must appeal to your taste -- distinctive, don't you think? Velvet upholstery -- 'A-number one'. I'm in the textile trade and I know.  And these are real silk drapes.",drapes.
"Yes -- and for me, it's going to leave at any minute. Let's drink.",drink.
You are funny. You speak of life as if it were a train you wanted to catch.,catch.
"You may laugh. Caviar and champagne may mean nothing to you, but to me -- they mean a great deal. You see, I'm ill and all of a sudden I got a fear of missing life. I don't want to miss life -- do you understand?",understand?
"Have caviar if you like, but it tastes like herring to me.",me.
"Waiter, oh waiter! Wait a minute!  We are having caviar -- it's expensive but that makes no difference -- I see the Baroness is laughing.",laughing.
If I could trouble the Baron to come and see this beautiful room. I have ordered champagne. Perhaps the Baroness could join us.,us.
"It's not funny at all. One can't get intimate just off hand. I could go to England with you and everything like that -- supposing I met you next year and I said: 'How do you do, Mr. Preysing! And you said:  'That was the young lady who was my secretary in Manchester'.",Manchester'.
"You're a funny little creature, Flaemmchen. I can't make you out.",out.
"I couldn't do that, you're a stranger to me.",me.
Why not?,not?
"Oh, no.",no.
Call me -- do you know -- would you -- would you like to call me by my first name?,name?
"Oh -- careful, Mr. Preysing.",Preysing.
"Here, hold up!",up!
Come here.,here.
You think so?,so?
You're sweet.,sweet.
I had to arrange about the trip.,trip.
You are late. I've been waiting for you -- waiting.,waiting.
"Well, he's a gentleman!",gentleman!
Baron!,Baron!
You mean Baron von Gaigern?,Gaigern?
Insolent young cub!,cub!
"Oh, yes.",yes.
Can you pay some attention to me?,me?
It's agreed -- I will get a room here for you.,you.
A thousand marks --,--
Of course -- of course.,course.
"Wait -- I must figure it up.  First, I'll need -- clothes -- shoes -- it's cold in England in March, I'll need a suit... You'd want me to look nice?",nice?
What do you think your salary would be -- for such a trip?,trip?
I understand perfectly.,perfectly.
"You see, I'd like to take a secretary with me for my correspondence and -- humm -- humm -- for company on the trip -- I'm nervous -- I need somebody -- I don't know if you quite understand me. You said you have travelled with gentlemen -- and I mean --",--
Well?,Well?
I must go to England -- at once.,once.
Well?,Well?
Yes.,Yes.
Well -- you want me?,me?
I'm going to keep an eye on that Kringelein fellow. I'll find out where he gets the money to hang around the Grand Hotel.,Hotel.
Nothing.,Nothing.
Sit here.  Cognac -- for you?,you?
"Oh, yes, Mr. Preysing?",Preysing?
"I'll remember you, Mr. Kringelein.",Kringelein.
"Now, children, no fighting -- save that for the office. Let's have our dance.",dance.
"Do you gentlemen know each other, Mr. Kringelein -- Mr. Preysing -- Baron von Gaigern.",Gaigern.
No -- now.,now.
Tomorrow morning.,morning.
"I must speak to you, Miss Flaemm -- business.",business.
"Come and dance with me, Mr. Kringelein.",Kringelein.
It's urgent.,urgent.
"Presently, Mr. Preysing.",Preysing.
"I must speak with you, Miss Flaemm.",Flaemm.
Hello!,Hello!
Miss Flaemm.,Flaemm.
That'll be all -- be here tomorrow at nine o'clock.,o'clock.
Oh -- too bad. Did you quarrel?,quarrel?
Definitely off.,off.
Is that Mrs. Preysing.,Preysing.
"My daughters -- yes, my daughters.",daughters.
How nice -- your daughters?,daughters?
...weight into the balance...,balance...
Should throw a great weight into the balance...,balance...
Cotton Company --,--
Have you got it now?,now?
I understand you perfectly.,perfectly.
Can't you understand me?,me?
You're a little too fast.,fast.
What?,What?
Not too quickly.,quickly.
"Moreover, the possibility of the successful termination of negotiations now pending with the Manchester Cotton Company...",Company...
No.,No.
With the same friend?,friend?
"Moreover -- Do you mind if I smoke?  I went to Florence once, too.",too.
Don't misunderstand me. I'm a married man -- with grownup daughters. Uh --,--
Perhaps.,Perhaps.
Moreover... He was a lucky man -- that man.,man.
Only in mutual advantages -- moreover...,moreover...
A man? -- To Switzerland? -- That must have been nice -- for him.,him.
Yes... A man I know took me to Switzerland last month...,month...
Skiing?,Skiing?
That's from skiing.,skiing.
What brown hands you have.,have.
Only in mutual advantages -- moreover.,moreover.
What?,What?
Moreover...,Moreover...
You...,You...
Me.,Me.
You...,You...
I got ten marks for that.,that.
What is this?,this?
"Yes, I photograph very well. Look --",--
Movies?,Movies?
"I don't see why it's unusual for a stenographer to be pretty -- if she does her work well, -- seems so silly. I don't know why they don't like girls like me in offices. Personally, I hate offices -- I'd much rather be in the movies.",movies.
Moreover...,Moreover...
Moreover...,Moreover...
You're a very unusual stenographer --,--
You pay me.,me.
Tired?,Tired?
No -- only occasional jobs.,jobs.
Do you work in Justice Zinnowitz' office?,office?
Moreover...,Moreover...
Moreover...,Moreover...
Moreover --,--
Moreover --,--
Then you will please wait outside.,outside.
I'm the stenographer.,stenographer.
What...! --,--
"Yes, Mr. Preysing -- that's what we want to know.",know.
What we want to know about is Manchester.,Manchester.
"Very simple -- I've always liked the way you dressed, Preysing -- English, isn't it?",it?
Oh -- ho -- you want legal aid against us? -- The whole thing seems to me to be very simple.,simple.
Shhh -- here he is now.,now.
"If the Preysing people get the Manchester contract, we shall certainly merge with the Preysing company -- but if they haven't they're ruined -- Preysing will have to declare himself.",himself.
Exactly.,Exactly.
And ask me what it's costing us to hammer it down.,down.
Next week.,week.
"See you soon, Preysing. Next week we'll meet and discuss further details.",details.
Under these circumstances we might refuse to sign.,sign.
Under these circumstances it's quite a different matter.,matter.
"I thought we'd suspended negotiations, gentlemen.",gentlemen.
"Preysing, you're joking with us.",us.
"Gentlemen, I am now free to announce...  ...that the deal between my firm and the Manchester Cotton Company has been successfully negotiated.",negotiated.
If you actually have news from Manchester then...,then...
"Oh no -- no -- the session is over. Let's go, it's off. Thank you, gentlemen.",gentlemen.
What?,What?
"Why talk -- it's over -- it's over -- it's finished. You've broken off negotiations. You did it. You're calling them off. You had nothing on your mind all day, but Manchester, -- Manchester -- Manchester.  You don't suppose for one moment that I'm such a fool as not to have something that I could say definitely about Manchester.",Manchester.
"Goodbye, Preysing, I hope you pull through. This is a very bad time to be in such a crisis. We've...",We've...
Yes --,--
"Then, it's all over?",over?
Yes --,--
You've decided against the merger?,merger?
"Sorry, Preysing.",Preysing.
What?,What?
Mop rags -- mop rags -- we're interested in something quite different!,different!
"Evil days -- I've shown you here --  -- my company exports to the Balkans alone, sixty-five thousand marks worth of mop rags a year.",year.
And I said we didn't.,didn't.
I know you did -- I said you did --,--
Of course you took the initiative.,initiative.
Scratched --  We did not take the initiative.,initiative.
Tentative my foot -- a month before this your old father-in-law came very privately and scratched at my door.,door.
We did not approach you.,you.
Oh -- now let's talk like adults. You want to tell us now a along story of what your factory can do. We know all that you could tell us and if you tell the truth it wouldn't sound so good. When you first approached us...,us...
"Now to proceed with the projected merger, the advantages for the Saxonia are so obvious...",obvious...
All you have to do is phone for it.,it.
No water -- What a place!,place!
"Oh -- Preysing, Preysing --",--
"I'd like to wait for Justice Zinnowitz, before I commit myself.",myself.
Mop rags --!,--!
"I'm laying before you the last general statement of our concern. Active capital, plant and machinery, raw material and finished product -- for instance -- mop rags --",--
Oh -- yes -- I beg your pardon!,pardon!
"Since, on the eleventh of June, this year -- when the first negotiations for a merger between our respective firms was entered into -- both parties have fully agreed that this merger can result only in mutual advantages.",advantages.
All right.,right.
We are here to discuss our merger. Naturally I can make no statement at this time. We must begin at the beginning.,beginning.
I mean with the Manchester people?,people?
"We have a good many connections in England, naturally.",naturally.
There's a lot of business to be done with the Manchester Cotton Company. They've the whole English market right in their hands. Have you any connections with -- Manchester?,Manchester?
"Manchester -- yes. Yes, yes, they do. Yes -- Now gentlemen shall we begin at the beginning? -- Have we cigars -- water and everything?",everything?
They turn out marvelous material in Manchester.,Manchester.
What?,What?
What a session this has been.,been.
"Here's my signature -- here Preysing, sign here.",here.
"You've talked enough today, you're hoarse now.",now.
Mr. Preysing has too scrupulous a regard for certainties...,certainties...
"I've admitted that at one time we had reason for desiring ther merger -- What reason have we now? The Preysing Company has fallon upon evil days, very evil days.",days.
...and let me say again for the tenth time...  ...you people were quite ready for the merger. You declared yourselves... fully agreed on all the terms -- Why should the signing of these articles be suddenly held up?,up?
We did not approach you.,you.
As you remember it -- when you approached us...,us...
Thank God we're beginning at the beginning.,beginning.
"Since, on the eleventh of June of this year -- when the first negotiations for a merger...",merger...
"Foggy -- frightfully foggy, always, I'm told.  Have you said anything about Manchester, Mr. Preysing?",Preysing?
How clear is Manchester?,Manchester?
In that case give us the articles. We'll sign at once. We know all the details...,details...
You're a deep one.,one.
"Ah, come on -- we're going home.",home.
You see -- what we are interested in --,--
Why waste time -- it's getting late.,late.
Shall I tell them again?,again?
He likes to play the great man.,man.
"Nine-thirty, Mr. Preysing keeps us waiting.",waiting.
Where is Pimenov? Where is Pimenov?,Pimenov?
"Madam, it is Mr. Meierheim -- he is waiting downstairs.",downstairs.
"Goodnight, Suzette.",Suzette.
"Yes, Madam. And now Madam will sleep. It is not long 'till the train.",train.
"In the middle of the night -- those flowers make me think of a funeral. Laurels and tube-roses.  Oh, think, Suzette -- the Villa and the sun at Tremezzo -- quiet -- simple -- happy -- we'll have a guest, Suzette.",Suzette.
When a lady falls in love she does her hair differently.,differently.
I've done my hair differently -- do you like that?,that?
Madam should sleep.,sleep.
"Yes, madam Suzette knows all about it.",it.
"Five minutes, Suzette, come back in five minutes. I'll ring.",ring.
"Madam will dress now, it is late.",late.
"Oh, yes, Suzette.",Suzette.
Madam has slept well?,well?
"Good morning, Madam.",Madam.
"Good morning, Suzette.",Suzette.
"All right, Suzette -- quickly -- hurry.",hurry.
"Oh, come, Madam -- please come.",come.
Send it away -- I shan't need it.,it.
"Ah, oui -- the car is here for Madam.",Madam.
"Oh, Suzette -- Suzette -- Sshh -- quiet.",quiet.
"Orchids come again, Madam -- no card -- I think perhaps they are from the same young man -- he is at the end of the corridor -- tall -- he walks like a soldier -- Madam must have noticed how often he is in the elevator with us. Last night for instance --",--
The pearls won't break -- they hold together and bring me bad luck ---- I hate them!,them!
Mon Dieu -- the pearls -- if they were to break --,--
Now is the time to cancel to stop entirely. I feel it -- everything tells me -- enough -- enough.,enough.
"But, Madam. cannot do that.",that.
Let us cancel the engagement.,engagement.
It will pass -- it will pass -- come.,come.
I can't dance tonight --,--
Madam Grusinskaya's car is to be brought.,brought.
"Always the performance -- every day the performance -- time for the performance.  I think, Suzette, I have never been so tired in my life.  Veronal didn't even help me to sleep.",sleep.
I know -- I know -- but it will be sunny in Tremezzo. We'll have a guest then.,then.
Every seat for the opening has been sold at Vienna. Sold out for three days.,days.
"Oh, the sun -- it will be sunny in Tremezzo --",--
Wait a minute. I've got to ask myself.,myself.
"Come along, oh, Madam, come along. The train will be going.",going.
"You'll be very much alone, my dear madame. This is the end.",end.
I wish to be alone.,alone.
I suppose I can cancel the Vienna engagement.,engagement.
Such nonsense.,nonsense.
"Hurry, Suzette.",Suzette.
You haven't time.,time.
"Take them back, Suzette.",Suzette.
Why not?,not?
Suzette -- I told you not to bring the pearls. I will not wear them tonight.,tonight.
Oh -- but it can't be.,be.
Packed to the ceiling. Hurry -- get dressed. And what an audience -- the French Ambassador -- American Millionaires -- Princess Ratzville -- er -- er --,--
The house is not full -- Is it really full?,full?
"Oh! Madam is cancelling the engagement. Madam has chosen a funny time for such a funny joke. Ha, ha, ha -- hurry, come on. Tonight -- there's a line in front of the theatre since six o'clock. The house is jammed to the roof.",roof.
Oh!,Oh!
I'm cancelling the engagement.,engagement.
"What is this that you have cancelled your car? Who am I that I should wait like a fool at the door? And here on a whim, you cancel your car. Have you forgotten there is a performance? Do you know the time? Or, are we all mad? Am I your manager?... Have we a contract? Have we obligations? Am I blind?  ...Or is that the time?",time?
But when did he go? How do you know?,know?
He will be on the train.,train.
"Yes, Pimenov.  One minute, Suzette, I will call you.",you.
Gru -- you are positively radiant.,radiant.
"Good morning, Gru -- your --",--
"Good morning, Pimenov.",Pimenov.
"That theatre -- half empty -- dancing for those few -- I was frantic -- I finished -- the last beat and...  ...I waited -- I listened -- but the applause didn't come -- nothing. A man in the box -- and just the claques behind -- it is passed, Pimenov. We are dead -- it's finished.",finished.
There was -- there was.,was.
Last night?... There was no applause.,applause.
What -- what is it? Last night...,night...
It is not stage fright -- it's something more --,--
The performance -- the performance -- the performance.,performance.
It is time for the performance.,performance.
Please.,Please.
Again?,Again?
Will Mr. Kringelein kindly register.,register.
"Well, now, that's very kind -- thanks. That's what I want -- a large room on the front with a private bath -- Yes, that's what I want. I can pay now if you like.",like.
"Certainly, sir.",sir.
Does that mean that the bath is my own? --- Private?,Private?
"Mr. Kringelein will take room number one-seventy-six, one of our most expensive rooms. It is large and on the front with bath.",bath.
"Don't worry about me, Mr. General Director Pryesing -- worry about yourself.  There has been a murder -- this is room one sixty-four.",sixty-four.
How much -- how much do you want -- you need money -- you have nothing.,nothing.
"We must call the police, your excellency.",excellency.
The scandal -- we are men -- you -- you could take that affair of the young lady upon yourself -- take her and hold your tongue. Then you can travel -- I'll give you anything -- anything -- she was with you.,you.
"Yes, I know them --",--
"I can answer for this, it was self- defense -- I can answer for this -- but that girl -- the scandal -- my wife -- my daughters, you know them?",them?
"Her room -- oh -- I see, Mr. Preysing -- I understand, Mr. General Director Preysing.",Preysing.
Where is that girl -- she was working with him -- she enticed me into her room.,room.
"Oh, no -- no -- not the Baron.",Baron.
No -- no -- wait -- the man was a burglar -- he was going to steal my money.,money.
"Yes, the police must be called.",called.
-- We must do something...,something...
"My best friend -- poor, Baron -- dead -- just like that.",that.
He tried to rob me -- he is dead --,--
Oh -- the Baron -- the Baron.,Baron.
Yes you -- shut your mouth -- get out -- you're discharged.,discharged.
Me?,Me?
You're discharged.,discharged.
"An embezzler -- you're going to take that back, right here in the presence of this young lady -- who do you think you're talking to? You think I'm dirt, if I'm dirt, you're a lot dirtier, Mr. Industrial Magnate Preysing.",Preysing.
Who are you? -- An embezzler most likely.,likely.
Go away -- go away.,away.
"Do you think you have free license to be insulting? Believe me you have not. You think you're superior, but you're quite an ordinary man.",man.
What is this insolence?,insolence?
"Does the world belong to you, Mr. Preysing?",Preysing?
"You may go, Mr. Kringelein.",Kringelein.
"Some champagne, Miss Flaemm?",Flaemm?
"Well now, Miss Flaemm, we can talk.",talk.
"You say that you are employed by us in Fredersdorf, and here you are in Berlin, indulging in diversions which ill befit your position and which are very much beyond your means -- Quite extraordinary, Mr. Kringelein, I think we will look into your books.",books.
I could not think of not accepting.,accepting.
Mr. Kringelein will be a good friend and not accept your invitation to dance.,dance.
"Oh -- you must know me -- Kringelein at the plant. Assistant bookkeeper, building C, room twenty-three -- third floor.",floor.
I don't know you.,you.
"I wish you a very good evening, Mr. Preysing. You are staying here, too, Mr. Preysing?",Preysing?
I certainly have a complaint -- and a fair one.,one.
The gentleman is dissatisfied with room number five fifty-nine.,fifty-nine.
"No, I won't wait -- I can't -- Every day is precious -- every hour -- Every minute.",minute.
"Just one moment, sir.",sir.
Did I say I wanted a cheap room to live in -- when I came here did I ask for a cheap room? Did I?,I?
"It's a very nice room and inexpensive, sir.",sir.
I won't wait -- I can't wait -- I waited three days before I got a room at all and what a room that is.,is.
"If you will wait one moment, sir.",sir.
Madam Grusinskaya's car.,car.
"Come, Lisaveta, he will be there -- he will be there.",there.
Four minutes past. Please come.,come.
"The troupe, the scenery, everything -- all on board, waiting. You have a rehearsal in Vienna tomorrow morning. Come, Madam, are you mad?",mad?
"What's the use of asking, Gru -- he is at the train -- He will be there.",there.
When she gets her paint on and hears the music -- she'll be all right. I know these people.,people.
"If the house is empty again, I don't know --",--
"Terrible. After this, no more ballets for me. Jazz --  Just jazz.",jazz.
How is the house?,house?
You are late. Hurry.,Hurry.
We will wait.,wait.
"Bluff does it, Preysing, bluff does it. Goodnight.",Goodnight.
Let's go down and find her -- I need a drink -- Come along Zinnowitz.  I don't know anything about women -- been married for twenty-six years.,years.
Pretty as a picture.,picture.
"Zinnowitz, would you say she was pretty?",pretty?
She had an engagement in the Yellow Room at five o'clock -- she was in a hurry.,hurry.
"I want to see her, I want to do some dictating -- report of the conference for my father-in-law.",father-in-law.
What do you want with her?,her?
Say it -- say it -- my lie -- it's the first time in thirty years that I've ever... Where's that stenographer? Miss Flaemm...,Flaemm...
I can understand that -- after your -- uh --,--
Yes -- that's what I want -- I'd like to tear loose -- I'd like a drink. I'd like to go down to that dancing place. I'd like to start something.,something.
What you need is some relaxation.,relaxation.
Yes -- I must go to England -- I was desperate -- Now I don't care -- This sort of thing goes to a man's head.,head.
You must go to Manchester at once yourself and really see it through.,through.
"No one would have thought it of me. I've been getting rusty in Fredersdorf. Well, if bluff is what the world wants I guess I can put up as big a bluff as anyone. From now on...",on...
"Deal with Manchester definitely off! ""Preysing, oh -- I'd never have thought it of you.",you.
That.,That.
What's bluff?,bluff?
Bluff -- Bluff -- all bluff.,bluff.
What's the matter with you?,you?
You let me talk till I'm hoarse and you had Manchester sewed-up all the time. Why?,Why?
Next week.,week.
Well -- gentlemen.,gentlemen.
I can make no statement about Manchester at this time.,time.
"But the situation is perfectly clear, If you will allow me --",--
"Oh, here you are, Justice Zinnowitz -- I'm at cross-purposes with these gentlemen -- will you clear up the situation?",situation?
"Good morning, gentlemen -- I see the conference is already underway.",underway.
Good night.,night.
"I'll see you in the morning then, at the conference. Everything'll be all right, Preysing... Don't worry. Goodnight.",Goodnight.
I want to dictate my statement for tomorrow. I can't speak without notes. I like to have things down before me in black and white.,white.
"Well, don't get excited about it. We agreed that the merger with the Saxonia people must go through.",through.
Yes -- the merger must go through -- But I am used to making my deals on a solid basis. I am not a liar. I am an honest business man -- a good husband and father -- I have a sense of honor -- I have nothing to conceal. I couldn't live happily otherwise.,otherwise.
Good heavens no. That'd create the very worst impression. You must be optimistic. You must convince them. You know as well as I do that the merger must go through.,through.
No news from Manchester yet -- Do you think we ought to postpone the conference?,conference?
I saw Gerstenkorn at lunch -- and as your lawyer I made it my business to broach the matter ---,---
I know -- I know.,know.
Everything depends on the Manchester merger.,merger.
No. No word.,word.
No news yet?,yet?
Waiting -- I'm waiting for news from Manchester.,Manchester.
Have I kept you waiting?,waiting?
"Ach! Here you are, Doctor Zinnowitz.",Zinnowitz.
"I will. So long, Bobo.",Bobo.
"Worries about his mother, eh? Give him a hug for me.",me.
"Well, you can tell them I said they're right.  I better get going. Roy'll wonder where I am.",am.
Yeah? You really think so? A lot of people been telling me the same thing.,thing.
"You know, I like that suit, Bobo. I don't know what there is about it, but it somehow makes you look taller.",taller.
"You know it, Lilly.",Lilly.
"Or else he's working an angle. If he doesn't steal a little, he's steeling big.",big.
You're a thousand percent right!,right!
"A person that don't look out for himself is too dumb to look out for anybody else. He's a liability, right, Bobo?",Bobo?
"That's right. Take a little, leave a little.",little.
"Oh, well, you know. I just clip a buck here and a buck there. Not enough to notice.",notice.
"Not skimming a thing, Lilly?",Lilly?
"On the square, huh? And how are you making out these days? Stealing much?",much?
He's a good kid. A salesman.,salesman.
"See your son, huh? Well, that's nice. A side of you I didn't know, Lilly.",Lilly.
"Gee, I better not, if it's okay. I still gotta drive back up to Los Ang-gleez.",Ang-gleez.
You want a drink?,drink?
"Oh, thanks, Bobo.",Bobo.
Almost forgot. That ten grand of yours. It's in the envelope by the door.,door.
You'll never shit right again.,again.
Permanent damage.,damage.
"What's that, Lilly?",Lilly?
"It can louse up your insides. You can get puh, puh, puh...",puh...
And if you do it wrong?,wrong?
"You hit a person with the oranges in the towel, they get big, awful looking bruises, but they don't really get hurt, not if you do it right. It's for working scams against insurance companies.",companies.
"Tell me about the oranges, Lilly.",Lilly.
"You mean, the insurance frammis?",frammis?
You ever hear about the oranges?,oranges?
I'll loan you a raincoat.,raincoat.
No.,No.
You got any kind of long coat in the car? Anything you can wear home over your clothes?,clothes?
You're calling the shots.,shots.
"It happened once. With me, that's making a habit of it.",it.
It'll never happen again. I swear.,swear.
"I got a lot of people work for me, Lilly. I can't have shit like this.",this.
You expect me to buy this?,this?
"I never fucked up before, Bobo.",Bobo.
Motherhood.,Motherhood.
"He left home a long time ago. He was in the hospital, up in Los Ang gleez, real sick.",sick.
What the fuck are you doin with a son?,son?
My son was in the hospital --,--
Your what?,what?
My son --,--
You wanna talk to me straight up?,up?
"Bobo, no, I --",--
"Now I'll ask you another. You think I got no contacts out here? That nag paid off at just the opening price. There wasn't hardly a flutter on the tote board from the time the odds were posted. There ain't enough action to tickle the tote, but you claim a ten grand win! You send me ten thousand dollars, like I'm some mark you can blow off!",off!
I want to keep my teeth.,teeth.
"One question. Do you want to stick to that story, or do you want to keep your teeth?",teeth?
"I was down on that horse, Bobo. Not as much as I should have been, but there was a lot of action on those--",those--
"You're fuckin right you're not. How much did your pals cut you in for on that nag, huh? Or did they give you the same kind of screwing you gave me?",me?
"I'm not getting away with anything, Bobo.",Bobo.
How'd you figure you were gonna get away with that?,that?
"You work for me, huh? Then I just may flush you down the toilet. Drive me to the Durando.",Durando.
"Well, I guess so. You're the guy I work for.",for.
"Did I buy you that dress, you piece of shit?",shit?
"Hi, Bobo.",Bobo.
No problem. My husband gets up the crack of dawn.  It's his kidneys.,kidneys.
And I'll want to leave an early wake-up call.,call.
Fine.,Fine.
Right in front of the room.,room.
Sounds perfect. I can park my car back there?,there?
I'll put you in one thirty-one. Very quiet. Faces the desert.,desert.
"Do you have something around back, facing away from the road?",road?
Those trucks. I know exactly what you mean.,mean.
"I'm a very light sleeper, traffic noise keeps me wide awake all night.",night.
"Oh, everything's the same size, same price.",price.
Good evening. I'd like a single for tonight.,tonight.
Evening. Welcome to Phoenix.,Phoenix.
Hah.,Hah.
"Come on, kid, let's see if there's any food in the house.",house.
"I like you, too.",too.
"The kids beat him up, because his home life is, uh, different.",different.
Roy? He's always crying.,crying.
Your kid's in the back here. He's crying.,crying.
"Oh, Cole, please. Please come out of it. What would I do without you?",you?
Demon! Demon! That's why you can walk on it! Demon!,Demon!
It's all hollow. Nothing behind it.,it.
"It's just the strain again, the stress. We'll take a vacation.",vacation.
Can't move.,move.
"Cole, it'll be all right. Honey?",Honey?
"Henry, no!",no!
You ruined me! You destroyed me!,me!
"We're not really interested, Henry.",Henry.
Come take a look. An entire-suite of main-frame computer.,computer.
"Oh, Henry, no, that's just boring.",boring.
Want a look?,look?
"Mister Hebbing, we are talking about breaking the law here, I want to be sure you understand that. No one gets hurt, but the law does get broken.",broken.
So here we are!,are!
"Well. If Mary Beth vouches for you, and if she told you the story already...",already...
"Oh, I know, I know, and you've been wonderful since I was widowed. But Mister Hebbing has--  -- you don't mind my telling him, darling --  -- suffered reverses. If he could...",could...
Mary Beth! This has never been anything but --,--
"Henry, next time, couldn't Mister Hebbing --",--
Goody!,Goody!
"Well, I'll have to take your word for it, Mary Beth. Here's your money.",money.
"Well, of course not! I know how dangerous this is. But I would trust Mister Hebbing with anything.  Wouldn't I, darling?",darling?
"Mary Beth, I hope you aren't spreading this good news too widely.",widely.
"Oh, I told Mister Hebbing all about it, how brilliant you are at making money for your special clients!",clients!
"Mary Beth, what we have here, uh...",uh...
You brought a case? Good.,Good.
"I must admit, Mister Fellowes, I had moments I was worried.",worried.
Here you are! Two rich people!,people!
These machines -- They're in here.,here.
Seven seconds. I don't see how you do it.,it.
"We have to be ready. We have to have the money, and we have to know what the information means, and we have to move immediately.",immediately.
Not much time.,time.
"Every once in a while, a major change comes through. We have seven seconds to take advantage, put our buy order, our sell order, into the computer in New York before the Tokyo data comes in.",in.
"Well, you've got your information ahead of New York, I see that.",that.
"You're right! And this boy tapped into that main link between Tokyo and the New York Stock Exchange. He can give us, when it's really useful, a seven second delay in that movement of information. Do you know what that means?",means?
"One of those computer geniuses, isn't it?",it?
